,PARID,"2021 BOR Final 
Assessed Value","2022 CCAO Initial 
Assessed Value",$ Difference,% Difference2,Class,Township,ADDRESS,geo_address,geocoded,lat,lon
69,17092430220000,"7,437,357","11,532,737","-4,095,380",-0.55,3-97,North Chicago,320 W ILLINOIS ST,"320 W ILLINOIS ST Cook County, IL","(41.8909367, -87.6364378)",41.8909367,-87.6364378
70,17094210120000,"18,970,221","23,048,171","-4,077,950",-0.21,5-91,South Chicago,77 W WACKER DR,"77 W WACKER DR Cook County, IL","(41.8864228, -87.6307475)",41.8864228,-87.6307475
71,17094180180000,"4,759,052","8,831,268","-4,072,216",-0.86,3-97,South Chicago,201 N WELLS ST,"201 N WELLS ST Cook County, IL","(41.8859952, -87.63368770000001)",41.8859952,-87.63368770000001
72,17093050450000,"8,675,865","12,678,767","-4,002,902",-0.46,3-91,West Chicago,300 N CANAL ST,"300 N CANAL ST Cook County, IL","(41.8873478, -87.6404615)",41.8873478,-87.6404615
73,17162270250000,"9,295,160","13,294,747","-3,999,587",-0.43,5-91,South Chicago,311 S WACKER DR,"311 S WACKER DR Cook County, IL","(41.8774046, -87.63583240000001)",41.8774046,-87.63583240000001
74,17094130020000,"8,311,648","12,281,436","-3,969,788",-0.48,5-91,South Chicago,225 W WACKER DR,"225 W WACKER DR Cook County, IL","(41.8863046, -87.6350769)",41.8863046,-87.6350769
75,17094150010000,"8,000,148","11,969,936","-3,969,788",-0.50,5-91,South Chicago,223 W LAKE ST,"223 W LAKE ST Cook County, IL","(41.8853654, -87.6349197)",41.8853654,-87.6349197
76,17032160230000,"7,202,115","11,163,738","-3,961,623",-0.55,3-97,North Chicago,1 E DELAWARE PL,"1 E DELAWARE PL Cook County, IL","(41.8989109, -87.62797139999999)",41.8989109,-87.62797139999999
77,17151000730000,"12,529,217","16,471,275","-3,942,058",-0.31,5-97,South Chicago,60 S STATE ST,"60 S STATE ST Cook County, IL","(41.8808483, -87.6276814)",41.8808483,-87.6276814
78,17103180710000,"16,111,801","20,003,014","-3,891,213",-0.24,5-97,South Chicago,225 N COLUMBUS DR,"225 N COLUMBUS DR Cook County, IL","(41.8864623, -87.6201026)",41.8864623,-87.6201026
