,PARID,"2021 BOR Final 
Assessed Value","2022 CCAO Initial 
Assessed Value",$ Difference,% Difference2,Class,Township,ADDRESS
153,17164110210000,4279517,5697633,-1418116,-0.33137290960638777,3-91,South Chicago,850 S CLARK ST
154,17153060380000,4392768,5807742,-1414974,-0.3221144390052013,3-91,South Chicago,919 N STATE ST
155,17162430030000,2283003,3673911,-1390908,-0.6092449287188848,5-91,South Chicago,427 S LA SALLE ST
156,17094150030000,2782291,4163087,-1380796,-0.4962802237436703,5-91,South Chicago,230 W LAKE ST
157,17151000710000,4152393,5476155,-1323762,-0.3187949695512924,5-97,South Chicago,60 S STATE ST
158,17161090340000,7990170,9298800,-1308630,-0.16377999466844884,3-97,West Chicago,765 W ADAMS ST
159,17094160050000,3260536,4567660,-1307124,-0.40089236861669364,3-91,South Chicago,210 N WELLS ST
160,17162010180000,16439366,17729463,-1290097,-0.0784760799169506,5-91,South Chicago,71 S WACKER DR
161,17044490470000,10427610,11701149,-1273539,-0.12213143759691825,3-91,North Chicago,833 N CLARK ST
162,17032310100000,4429080,5701310,-1272230,-0.2872447551184445,5-29,North Chicago,800 N MICHIGAN AVE
163,17161180160000,2834420,4090989,-1256569,-0.4433249130333543,3-91,West Chicago,601 W JACKSON BLVD
164,17092580290000,4864873,6103157,-1238284,-0.25453572991525175,3-97,North Chicago,221 W HUBBARD ST
165,17093060330000,9705081,10863717,-1158636,-0.11938447499819937,5-91,West Chicago,444 W LAKE ST
166,17103030070000,2108238,3256709,-1148471,-0.5447539604162339,7-29,South Chicago,203 N WABASH AVE
167,17151000700000,3346414,4445052,-1098638,-0.3283030730806171,5-97,South Chicago,60 S STATE ST
168,17223130090000,3901302,4982342,-1081040,-0.2770972357433492,3-91,South Chicago,2001 S MICHIGAN AVE
169,17103040160000,4961329,5963078,-1001749,-0.20191142333032142,5-91,South Chicago,205 N MICHIGAN AVE
170,17101290140000,6626589,7624632,-998043,-0.15061187588365588,5-91,North Chicago,430 N MICHIGAN AVE
171,17094510470000,7030952,8022103,-991151,-0.14096967238575941,5-97,South Chicago,108 N STATE ST
172,17092130320000,3483561,4474674,-991113,-0.28451145250506604,3-97,North Chicago,706 N DEARBORN ST
173,17103010070000,1562444,2546459,-984015,-0.6297921717514356,7-91,South Chicago,307 N MICHIGAN AVE
174,17103010080000,1562444,2546459,-984015,-0.6297921717514356,7-91,South Chicago,311 N MICHIGAN AVE
175,17221080990000,3997644,4976582,-978938,-0.2448787335740752,3-97,South Chicago,0  UNKNOWN 
176,17094160060000,2371387,3338659,-967272,-0.40789293354479894,3-91,South Chicago,218 W LAKE ST
177,17221060620000,1584352,2550534,-966182,-0.6098278665347094,3-91,South Chicago,1417 S STATE ST
178,17102100210000,14311326,15268635,-957309,-0.06689170521305998,3-91,North Chicago,345 E OHIO ST
179,17032280040000,2879245,3835814,-956569,-0.33222910867258615,3-91,North Chicago,850 N LAKE SHORE DR
180,17084370160000,4390377,5333482,-943105,-0.21481184873189707,5-91,West Chicago,1051 W RANDOLPH ST
181,17101370030000,3904562,4829907,-925345,-0.23699073033031626,7-91,North Chicago,400 N MICHIGAN AVE
182,17102030020000,10356308,11276163,-919855,-0.08882074577156263,5-91,North Chicago,200 E ONTARIO ST
183,17044360580000,6888322,7801175,-912853,-0.13252182461853557,3-91,North Chicago,347 W CHESTNUT ST
184,16174130210000,672834,1582410,-909576,-1.351857961993597,5-93,West Chicago,5660 W TAYLOR ST
185,17102190350000,1635159,2537061,-901902,-0.551568379588774,3-97,North Chicago,455 N PARK DR
186,17162450390000,597874,1494376,-896502,-1.499483168694407,5-29,South Chicago,538 S DEARBORN ST
187,17172310040000,2110850,3001945,-891095,-0.42214984484923135,3-91,West Chicago,1035 W VAN BUREN ST
188,17103060050000,2885190,3769133,-883943,-0.30637254392258395,3-91,South Chicago,73 E LAKE ST
189,17044290160000,4555506,5438995,-883489,-0.19393871943094787,3-91,North Chicago,905 N ORLEANS ST
190,17094150020000,1750619,2613617,-862998,-0.49296734469350545,5-91,South Chicago,234 W LAKE ST
191,17094510480000,6023410,6872968,-849558,-0.14104269840505634,5-97,South Chicago,108 N STATE ST
192,17092500040000,3128432,3976676,-848244,-0.271140302873772,3-91,North Chicago,309 W ILLINOIS ST
193,17032210020000,1173456,2010096,-836640,-0.7129709166768929,3-91,North Chicago,211 E DELAWARE PL
194,17094510420000,2787119,3623085,-835966,-0.29993911275406604,5-97,South Chicago,108 N STATE ST
195,17094190020000,7248049,8082158,-834109,-0.11508048579693653,3-91,South Chicago,111 W WACKER DR
196,17091300110000,12857593,13689615,-832022,-0.06471055663373382,3-97,North Chicago,360 W HUBBARD ST
197,17093010120000,2024760,2851200,-826440,-0.40816689385408633,3-91,West Chicago,660 W WAYMAN ST
198,17151000720000,2484403,3306189,-821786,-0.33077805814918104,5-97,South Chicago,60 S STATE ST
199,17172090210000,4170172,4975507,-805335,-0.19311793374469932,3-91,West Chicago,11 S GREEN ST
200,17153080210000,2132772,2934838,-802066,-0.3760673902320548,3-91,South Chicago,1140 S WABASH AVE
201,17162270230000,1286254,2086171,-799917,-0.6218966082904309,5-91,South Chicago,308 W JACKSON BLVD
202,17153050160000,1092727,1875103,-782376,-0.7159848708780876,3-18,South Chicago,820 S MICHIGAN AVE
203,17153050150000,1056064,1838440,-782376,-0.7408414641536876,3-18,South Chicago,822 S MICHIGAN AVE
204,17093410310000,3349147,4116357,-767210,-0.2290762394126027,5-91,West Chicago,540 W MADISON ST
205,17092230110000,1737013,2489310,-752297,-0.43309808274319184,3-91,North Chicago,634 N WELLS ST
206,17101010070000,1807978,2537754,-729776,-0.40364207971557176,3-97,North Chicago,750 N RUSH ST
207,17094510430000,2388870,3105413,-716543,-0.2999506042605917,5-97,South Chicago,108 N STATE ST
208,17093310100000,2025289,2740139,-714850,-0.35296197234073756,3-91,West Chicago,123 N DESPLAINES ST
209,17173150720000,2879528,3589479,-709951,-0.2465511708863397,3-91,West Chicago,901 S ASHLAND AVE
210,17162000240000,8096948,8805652,-708704,-0.08752730040998169,5-91,South Chicago,30 S WACKER DR
211,14321140060000,2040662,2738951,-698289,-0.3421874862177079,5-97,West Chicago,2001 N ELSTON AVE
212,17082130110000,2971923,3656331,-684408,-0.23029129624152445,3-91,West Chicago,910 W HURON ST
213,17041120640000,4914043,5584194,-670151,-0.13637467152810823,3-97,North Chicago,1457 N HALSTED ST
214,17221071000000,5012617,5680819,-668202,-0.13330402063433122,3-91,South Chicago,0  UNKNOWN 
215,17084370090000,3075802,3735976,-660174,-0.21463475217195382,5-91,West Chicago,139 N ABERDEEN ST
216,17094210130000,3065815,3712723,-646908,-0.21100686114458966,5-91,South Chicago,77 W WACKER DR
217,17172310090000,1516509,2156984,-640475,-0.42233511307878824,3-91,West Chicago,1035 W VAN BUREN ST
218,17044510060000,9712458,10337818,-625360,-0.06438740841916646,3-91,North Chicago,1140 N WELLS ST
219,17161180270000,1385364,2004272,-618908,-0.4467475695918184,3-91,West Chicago,312 S JEFFERSON ST
220,17101120180000,3313543,3919550,-606007,-0.18288792389294484,5-29,North Chicago,630 N RUSH ST
221,17092610280000,11067532,11662740,-595208,-0.05377965024180642,3-91,North Chicago,71 W HUBBARD ST
222,17044140060000,701722,1293173,-591451,-0.8428565728308361,3-97,North Chicago,1125 N DEARBORN ST
223,17044140040000,701702,1293153,-591451,-0.8428805960364942,3-97,North Chicago,1129 N DEARBORN ST
224,17044140050000,701602,1293053,-591451,-0.843000732609086,3-97,North Chicago,1127 N DEARBORN ST
225,17094310100000,14603265,15193333,-590068,-0.04040658030926636,5-91,South Chicago,240 W RANDOLPH ST
226,17164040250000,1541253,2124701,-583448,-0.3785543320921354,3-91,South Chicago,730 S CLARK ST
