,SOLD DATE,ADDRESS,CITY,PRICE,BEDS,BATHS,LOCATION,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,URL,LATITUDE,LONGITUDE,Unnamed: 0.2,URL,Unnamed: 0,URL.2,PRICE_AS_CURRENCY,YEAR BUILT DISPLAY,PRICE_SQUARE_FEET_AS_CURRENCY,COLOR,RANK,FULL_ADDRESS,Unnamed: 0.1,URL.1
7733,April-11-2023,66 Hillburn Ln,North Barrington,1400000.0,6.0,5.5,Wynstone,1992.0,,151.0,https://www.redfin.com/IL/North-Barrington/66-Hillburn-Ln-60010/home/17662606,42.221101,-88.1281473,,,,,"$1,400,000",1992,$151,blue,67,66 Hillburn Ln North Barrington,,
1350,April-11-2023,66 Hillburn Ln,North Barrington,1400000.0,6.0,5.5,Wynstone,1992.0,,151.0,,42.221101,-88.1281473,1328.0,,1905.0,https://www.redfin.com/IL/North-Barrington/66-Hillburn-Ln-60010/home/17662606,"$1,400,000",1992,$151,blue,68,66 Hillburn Ln North Barrington,,
1351,April-11-2023,66 Hillburn Ln,North Barrington,1400000.0,6.0,5.5,Wynstone,1992.0,,151.0,,42.221101,-88.1281473,4819.0,https://www.redfin.com/IL/North-Barrington/66-Hillburn-Ln-60010/home/17662606,,,"$1,400,000",1992,$151,blue,69,66 Hillburn Ln North Barrington,,
37,April-28-2023,274 Middaugh Rd,Clarendon Hills,1375000.0,5.0,4.5,Clarendon Hills,2001.0,,270.0,https://www.redfin.com/IL/Clarendon-Hills/274-Middaugh-Rd-60514/home/18032347,41.8092237,-87.9510559,,,,,"$1,375,000",2001,$270,blue,70,274 Middaugh Rd Clarendon Hills,,
1355,April-24-2023,705 S Grant St,Hinsdale,1375000.0,4.0,4.5,Hinsdale,2003.0,,283.0,,41.794283,-87.9316712,1329.0,,192.0,https://www.redfin.com/IL/Hinsdale/705-S-Grant-St-60521/home/17395786,"$1,375,000",2003,$283,blue,71,705 S Grant St Hinsdale,,
1354,April-28-2023,274 Middaugh Rd,Clarendon Hills,1375000.0,5.0,4.5,Clarendon Hills,2001.0,,270.0,,41.8092237,-87.9510559,1330.0,,37.0,https://www.redfin.com/IL/Clarendon-Hills/274-Middaugh-Rd-60514/home/18032347,"$1,375,000",2001,$270,blue,72,274 Middaugh Rd Clarendon Hills,,
1353,April-24-2023,705 S Grant St,Hinsdale,1375000.0,4.0,4.5,Hinsdale,2003.0,,283.0,,41.794283,-87.9316712,192.0,https://www.redfin.com/IL/Hinsdale/705-S-Grant-St-60521/home/17395786,,,"$1,375,000",2003,$283,blue,73,705 S Grant St Hinsdale,,
1352,April-28-2023,274 Middaugh Rd,Clarendon Hills,1375000.0,5.0,4.5,Clarendon Hills,2001.0,,270.0,,41.8092237,-87.9510559,37.0,https://www.redfin.com/IL/Clarendon-Hills/274-Middaugh-Rd-60514/home/18032347,,,"$1,375,000",2001,$270,blue,74,274 Middaugh Rd Clarendon Hills,,
192,April-24-2023,705 S Grant St,Hinsdale,1375000.0,4.0,4.5,Hinsdale,2003.0,,283.0,https://www.redfin.com/IL/Hinsdale/705-S-Grant-St-60521/home/17395786,41.794283,-87.9316712,,,,,"$1,375,000",2003,$283,blue,75,705 S Grant St Hinsdale,,
1356,April-14-2023,611 County Line Rd,Highland Park,1360000.0,5.0,4.5,Highland Park,1929.0,,289.0,,42.1527297,-87.7761411,1331.0,,1744.0,https://www.redfin.com/IL/Highland-Park/611-County-Line-Rd-60035/home/17615524,"$1,360,000",1929,$289,blue,76,611 County Line Rd Highland Park,,
1357,April-14-2023,611 County Line Rd,Highland Park,1360000.0,5.0,4.5,Highland Park,1929.0,,289.0,,42.1527297,-87.7761411,4658.0,https://www.redfin.com/IL/Highland-Park/611-County-Line-Rd-60035/home/17615524,,,"$1,360,000",1929,$289,blue,77,611 County Line Rd Highland Park,,
7572,April-14-2023,611 County Line Rd,Highland Park,1360000.0,5.0,4.5,Highland Park,1929.0,,289.0,https://www.redfin.com/IL/Highland-Park/611-County-Line-Rd-60035/home/17615524,42.1527297,-87.7761411,,,,,"$1,360,000",1929,$289,blue,78,611 County Line Rd Highland Park,,
1358,April-7-2023,4625 Sherwood Ave,Downers Grove,1359000.0,6.0,6.0,Downers Grove,2015.0,,303.0,,41.8030554,-87.9988658,1332.0,,510.0,https://www.redfin.com/IL/Downers-Grove/4625-Sherwood-Ave-60515/home/17917072,"$1,359,000",2015,$303,blue,79,4625 Sherwood Ave Downers Grove,,
1359,April-7-2023,4625 Sherwood Ave,Downers Grove,1359000.0,6.0,6.0,Downers Grove,2015.0,,303.0,,41.8030554,-87.9988658,510.0,https://www.redfin.com/IL/Downers-Grove/4625-Sherwood-Ave-60515/home/17917072,,,"$1,359,000",2015,$303,blue,80,4625 Sherwood Ave Downers Grove,,
