Status,Address,City Name,List Price Chg Date,Original List Price,List Price,% Change from Original To List Price,Sale Price,SP$/SqFt,% Change from Original to Sold Price,LP$/SqFt,SP$/LP$,CDOM (Days on Market),#Beds,#FBaths,#HBaths,SqFt Liv Area,Lot SqFt,#Garage Spaces,Pool YN,Year Built,Closing Date,List Price Chg Date,Days to Closing from Price Change
Active,1137 N Biscayne Point Rd,Miami Beach,,"$15,500,000.00","$15,500,000.00",0% ,,,,"$3,052.98",,93,4,5,0,"5,077","XXX12,415.00",0,Yes,1955,,12/19/2022,
Active,1431 W 22 ST,Miami Beach,,"$16,000,000.00","$16,000,000.00",0% ,,,,,,"2,200",5,4,0,,"13,125",2,Yes,1937,,06/09/2022,
Active,3100 N Bay Rd,Miami Beach,,"$16,500,000.00","$16,500,000.00",0% ,,,,,,557,7,5,5,0,"XXX20,500.00",2,Yes,2020,,,
Active,10161 E Broadview Dr,Bay Harbor Islands,,"$16,900,000.00","$16,900,000.00",0% ,,,,"$3,580.51",,2,5,5,1,"4,720","XXX11,250.00",2,Yes,2023,,03/14/2023,
Active,1051 N Venetian Dr,Miami,,"$16,995,000.00","$16,995,000.00",0% ,,,,"$3,004.77",,246,4,4,1,"5,656","XXX7,500.00",2,Yes,2021,,07/15/2022,
Active,3166 N Bay Rd,Miami Beach,,"$17,500,000.00","$17,500,000.00",0% ,,,,"$2,719.93",,3,6,7,0,"6,434","XXX16,366.00",2,Yes,2020,,03/20/2023,
Active,279 N Hibiscus Dr,Miami Beach,,"$18,000,000.00","$18,000,000.00",0% ,,,,"$2,381.58",,643,5,5,1,"7,558","XXX10,500.00",2,Yes,1978,,10/28/2021,
Active,5777 Pinetree Dr,Miami Beach,,"$19,900,000.00","$19,900,000.00",0% ,,,,"$2,843.26",,78,6,6,1,"6,999","XXX13,259.00",3,Yes,2023,,02/15/2023,
Active,421 N Hibiscus Dr,Miami Beach,,"$19,900,000.00","$19,900,000.00",0% ,,,,"$4,772.18",,45,5,5,1,"4,170","XXX9,187.00",2,Yes,2017,,02/01/2023,
Active,6640 Allison Rd,Miami Beach,,"$21,500,000.00","$21,500,000.00",0% ,,,,"$2,412.75",,442,8,8,1,"8,911","XXX20,052.00",3,Yes,1992,,01/27/2023,
Active,1369 N Venetian Way,Miami,,"$21,900,000.00","$21,900,000.00",0% ,,,,"$3,007.00",,429,5,5,1,"7,283","XXX10,500.00",1,Yes,2022,,01/18/2022,
Active,1378 S Venetian Way,Miami,,"$23,500,000.00","$23,500,000.00",0% ,,,,"$3,553.61",,24,6,6,2,"6,613","XXX10,500.00",1,Yes,2014,,02/23/2023,
Active,9208 Bay Dr,Surfside,,"$25,000,000.00","$25,000,000.00",0% ,,,,"$2,790.18",,72,7,9,1,"8,960","15,029",2,Yes,2023,,01/04/2023,
Active,12 La Gorce Cir,Miami Beach,,"$25,000,000.00","$25,000,000.00",0% ,,,,"$4,740.24",,136,4,5,0,"5,274","XXX20,300.00",3,Yes,1937,,11/16/2022,
Active,508 W Dilido Dr,Miami Beach,,"$25,500,000.00","$25,500,000.00",0% ,,,,"$4,635.52",,64,4,4,1,"5,501","XXX10,500.00",2,Yes,2018,,01/19/2023,
Active,214 W San Marino Dr,Miami Beach,,"$26,500,000.00","$26,500,000.00",0% ,,,,"$7,055.38",,200,4,5,1,"3,756","XXX15,750.00",0,Yes,1936,,03/09/2023,
Active,7833 Atlantic Way,Miami Beach,,"$26,500,000.00","$26,500,000.00",0% ,,,,"$4,240.68",,283,7,9,1,"6,249","XXX16,000.00",2,Yes,2019,,07/21/2022,
Active,815 E Dilido Dr,Miami Beach,,"$27,000,000.00","$27,000,000.00",0% ,,,,"$3,300.33",,20,6,7,1,"8,181","XXX13,408.00",2,Yes,2006,,03/01/2023,
Active,216 Bal Bay Dr,Bal Harbour,,"$27,750,000.00","$27,750,000.00",0% ,,,,"$9,343.43",,658,3,3,2,"2,970","XXX20,664.00",2,Yes,1952,,08/09/2022,
Active,9250 Bay Drive,Surfside,,"$28,000,000.00","$28,000,000.00",0% ,,,,"$2,795.53",,129,8,8,2,"10,016","20,359",3,Yes,2025,,03/08/2023,
Active,2740 N Bay Rd,Miami Beach,,"$28,900,000.00","$28,900,000.00",0% ,,,,"$5,413.00",,295,7,8,2,"5,339","XXX28,245.00",0,No,2023,,06/01/2022,
Active,16 Palm Ave,Miami Beach,,"$29,500,000.00","$29,500,000.00",0% ,,,,"$3,203.39",,"2,013",6,6,1,"9,209","XXX35,348.00",2,Yes,1930,,05/12/2021,
Active,4521 Pine Tree Dr,Miami Beach,,"$29,900,000.00","$29,900,000.00",0% ,,,,"$3,517.65",,3,6,7,1,"8,500","XXX58,650.00",3,Yes,1995,,03/20/2023,
Active,1417 N Venetian Way,Miami,,"$30,000,000.00","$30,000,000.00",0% ,,,,"$3,898.13",,289,6,6,1,,"XXX13,382.00",2,Yes,2022,,06/03/2022,
Active,432 S Hibiscus Dr,Miami Beach,,"$30,000,000.00","$30,000,000.00",0% ,,,,"$4,926.11",,592,5,5,2,"6,090","XXX18,463.00",3,Yes,2001,,09/13/2022,
Active,93 Palm Ave,Miami Beach,,"$30,000,000.00","$30,000,000.00",0% ,,,,"$5,195.70",,132,9,6,0,"5,774","XXX30,000.00",1,Yes,1922,,11/11/2022,
Active,851 N Venetian Dr,Miami,,"$30,500,000.00","$30,500,000.00",0% ,,,,"$9,335.78",,260,4,4,0,"3,267","XXX26,250.00",0,Yes,1950,,07/03/2022,
Active,3541 Flamingo Dr,Miami Beach,,"$31,500,000.00","$31,500,000.00",0% ,,,,"$2,739.13",,90,9,10,2,"11,500","XXX24,750.00",2,Yes,2017,,12/15/2022,
Active,5840 N Bay Rd,Miami Beach,,"$33,900,000.00","$33,900,000.00",0% ,,,,,,43,0,0,,0,"XXX27,702.00",0,No,2025,,01/30/2023,
