borough,block,lot,cd,council,zipcode,address,zonedist1,bldgclass,landuse,ownertype,ownername,Final,lotarea, bldgarea ,comarea,resarea,officearea,retailarea,garagearea,strgearea,factryarea,otherarea,numbldgs,numfloors,unitsres,unitstotal,lotfront,lotdepth,bldgfront,bldgdepth,assessland,assesstot,yearbuilt,yearalter1,yearalter2,histdist,landmark,builtfar,residfar,commfar,facilfar,borocode,bbl,xcoord,ycoord,zonemap,version,latitude,longitude
MN,541,1,102,1,10012,40 WASHINGTON SQUARE S,R7-2,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,41835,202521,202521,0,0,0,0,0,0,202521,1,5,0,1,200.17,209,200.16,209,4770000,17555400,1951,0,0,South Village Historic District,,4.84,3.44,0,6.5,1,1005410001,984392,205434,12c,22v2,40.7305455,-73.9994876
MN,931,24,106,2,10010,339 EAST 25 STREET,R8,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,24688,198380,198380,0,28502,0,0,0,0,0,2,6,0,3,197.5,125,49.42,100,5554800,84618900,1921,0,0,,,8.04,6.02,0,6.5,1,1009310024,990422,208380,8d,22v2,40.7386294,-73.9777281
BX,3273,75,206,15,10458,685 EAST FORDHAM ROAD,R6,G1,10,X,FORDHAM UNIVERSITY,FORDHAM UNIVERSITY,166500,194442,,,,,,,,,1,4,0,1,517.75,322.08,200,243,1498500,3816900,2005,0,0,,,1.17,2.43,0,4.8,2,2032730075,1016961,252253,3c,22v2,40.8589904,-73.8817473
BX,5933,425,208,11,10471,750 WEST 261 STREET,R4,W6,8,X,COLLEGE OF ST. VINCENT,COLLEGE OF ST. VINCENT,547650,192939,192939,0,0,0,0,0,0,192939,4,5,0,1,460.67,381,278,71,3942900,17715600,1924,2006,0,,,0.35,0.75,0,2,2,2059330425,1009424,271425,1c,22v2,40.9116362,-73.908922
MN,1506,21,108,4,10128,1339 MADISON AVENUE,R10,W1,8,C,CITY UNIVERSITY OF NEW YORK,CITY UNIVERSITY OF NEW YORK,80566,192301,192301,0,0,0,0,0,0,192301,4,4,0,1,201.42,400,201,230,27450000,55230300,1972,2005,0,Individual Landmark,INDIVIDUAL LANDMARK,2.39,10,0,10,1,1015060021,996951,225610,6b,22v2,40.7859143,-73.9541353
MN,1962,19,109,7,10027,88 MORNINGSIDE DRIVE,R8,D9,3,,TRUSTEES OF COLUMBIA UNIVERSITY,COLUMBIA UNIVERSITY,17661,"  189,905 ",12785,177120,0,12000,0,0,0,785,1,15,285,288,100.92,175,98,164,508500,11642400,1925,1986,0,,,10.75,6.02,0,6.5,1,1019620019,995742,233661,5c,22v2,40.8080138,-73.9584874
BK,255,36,302,33,11201,172 REMSEN STREET,C5-2A,W6,8,P,ST FRANCIS COLLEGE,ST FRANCIS COLLEGE,29815,184055,184055,0,0,0,0,0,0,184055,1,8,0,1,300,100,300,82,3542850,32344200,1914,0,0,Individual Landmark,INDIVIDUAL LANDMARK,6.17,10,10,10,3,3002550036,986469,191815,16c,22v2,40.6931643,-73.9919981
MN,1986,65,109,7,10027,3280 BROADWAY,C6-1,O6,5,P,THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,COLUMBIA UNIVERSITY,30675,"  184,044 ",184044,0,134612,35332,14100,0,0,0,1,8,0,11,199.83,185,199,185,549000,10720800,1927,1990,1995,,,6,3.44,6,6.5,1,1019860065,996489,237399,6a,22v2,40.8182726,-73.9557822
BX,5776,632,208,11,10463,5935 BROADWAY,R6,G1,10,X,MANHATTAN COLLEGE,MANHATTAN COLLEGE,72825,181538,181538,0,11616,0,169922,0,0,0,1,4,0,1,250,387.42,250,184,684000,6372000,2008,2017,0,,,2.49,2.43,0,4.8,2,2057760632,1011984,263100,1d,22v2,40.8887791,-73.8996946
MN,556,48,103,2,10003,120 EAST 12 STREET,C6-2A,H8,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,17645,181380,1380,0,0,0,0,0,0,0,1,26,0,212,125,164.6,0,0,2699550,15285150,2006,0,0,,,10.28,6.02,6,6.5,1,1005560048,987225,206004,12c,22v2,40.7321095,-73.9892656
MN,930,20,106,2,10010,345 EAST 24 STREET,R8,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,23777,180102,180102,0,180102,0,0,0,0,0,1,11,0,4,98.75,225,150,77.67,3262500,16510050,1977,2009,2009,,,7.57,6.02,0,6.5,1,1009300020,990235,208145,8d,22v2,40.7379845,-73.9784031
MN,547,1,102,1,10003,32 WAVERLY PLACE,R7-2,W6,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,17859,180000,180000,0,0,0,0,0,0,180000,1,10,0,1,180.08,99.17,180.08,99,3802500,14557950,1900,1922,0,,,10.08,3.44,0,6.5,1,1005470001,985470,205357,12c,22v2,40.7303341,-73.9955981
MN,552,24,102,1,10011,35 WASHINGTON SQUARE W,R7-2,H8,8,X,NEW YORK UNIVERSITY,NEW YORK UNIVERSITY,16065,179800,,,,,,,,,1,16,0,1,110,150,110,150,5099850,12121200,1955,1989,2014,Greenwich Village Historic District,,11.19,3.44,0,6.5,1,1005520024,984368,205811,12c,22v2,40.7315803,-73.9995742
