URL,Tags
https://therealdeal.com/chicago/2022/11/04/manufacturing-incubator-headed-to-32m-ashland-avenue-office/,"meter,chicago industrial,fulton market,river west"
https://therealdeal.com/chicago/2022/11/04/chicagos-ultra-luxury-market-withstands-broader-slowdown/,"subscriber-inline,gold coast,housing market,lincoln park,luxury real estate,north shore"
https://therealdeal.com/chicago/2022/11/04/berger-realty-sells-historic-flatiron-arts-building-for-20m/,"meter,downtown,north side"
https://therealdeal.com/chicago/2022/11/03/the-feeding-frenzy-for-chicago-hotels-is-just-getting-started/,"subscriber,auctions,foreclosures,hotel market,river north,suburban chicago"
https://therealdeal.com/chicago/2022/11/03/strategic-properties-shakes-up-condo-deconversion-strategy/,"subscriber-inline,condo deconversions,loop,multifamily market,river north,strategic properties of north america,yitzy klor"
https://therealdeal.com/chicago/2022/11/03/sinking-feeling-lawsuit-says-klein-hid-landfill-linked-structural-issues/,"meter,back of the yards,lawsuits,retail,south side,wilmington trust"
https://therealdeal.com/chicago/2022/11/03/pulte-makes-progress-on-polo-club-development-plan-in-naperville/,"meter,chicago suburbs,housing market,naperville,pulte homes"
https://therealdeal.com/chicago/2022/11/03/espinoza-venture-faces-21m-foreclosure-on-lasalle-office-building/,"meter,commercial real estate,downtown,office market"
https://therealdeal.com/chicago/2022/11/02/picket-signs-save-picket-fences-transwestern-rebuffed-by-chicago-suburb/,"meter,chicago suburbs,industrial development,medinah,transwestern"
https://therealdeal.com/chicago/2022/11/02/keeper-seeks-7m-for-planned-glenview-mansion/,"subscriber-inline,architecture,glenview,housing market,luxury real estate,residential real estate,suburban chicago"
https://therealdeal.com/chicago/2022/11/02/high-vacancies-in-dense-south-shore-leave-renters-vulnerable/,"meter,housing market,south shore,south side"
https://therealdeal.com/chicago/2022/11/02/desks-by-the-dozen-larger-requirements-drive-chicago-flex-space-demand/,"meter,chicago office market,co-working,flex space"
https://therealdeal.com/chicago/2022/11/02/chicago-retail-owners-undisturbed-by-grocers-merger-despite-overlap/,"subscriber-inline,chicago,commercial real estate,grocery stores,retail market"
https://therealdeal.com/chicago/2022/11/02/chicago-alderman-resigns-gears-up-to-join-property-tax-board/,"subscriber-inline,board of review,chicago,commercial real estate,politics,residential real estate"
https://therealdeal.com/chicago/2022/11/01/w-p-carey-shopping-empty-goose-island-office/,"meter,goose island,office market,w.p. carey"
https://therealdeal.com/chicago/2022/11/01/odonnell-golden-granted-demo-permits-for-west-loop-multifamily/,"meter,development,mixed-use,west loop"
https://therealdeal.com/chicago/2022/11/01/northbrooks-green-acres-country-club-development-saga-drags-on/,"meter,chicago suburbs,northbrook,redevelopment"
